review,rating
mantap,5
"Pengiriman murah gak bisa dipake kalo belum jam 9 atau banyak pembeli, padahal jadi mahal di ongkir",3
mntap,4
"mau kirim barang lewat gosend lama banget nunggu dapet drivernya, ada kali 2 jam.",1
"please fix yur bugs on change payment fiture, because I cannot change to be gopay from cash",3
bapaknya baik banget mau nungguin,5
"Goride hemat bikin miris..pelanggan2 yg mapan aja udh gak malu pake hemat..klo anak sekolah/pelajar ,karyawan di bawah umk ,mahasiswa mash gw maklumin.! Tp klo org2 yg udh bergaya exlusive mobil ngejogrog,keluar makan di cafe mahal...lah giliran ngojeg pake hemat..cih !! gak malu apa lu ?? lu tau gak itu ongkos hemat driver yg bayarin 20% nya..",1
okey,5
saya tidak bisa masuk karna email yang saya daftarkan sudah tidak dapat sya gunakan,1
mantap,5
sinyal dari penumpang ke driver kurang sesuai.tolong pihak aplikasi di perkuat lagi sinyalnya agar penumpang cepat dapat driver.,3
Diskonnya hilang,1
sangat membantu apa lagi ada promo trus 😀,5
aplikasi yg okeh,5
kenapa gojek saya tidak bisa beli tiket krl,4
kalaw bisa di pisah tampilan aplikasi gojek dan gopay.. karna jadi makin ribet tampilan ny,3
ok,5
mantap,5
parah driver 2 x ganti driver ga ada respon sama sekali,1
sekarang pesen gofood pengantaran hemat driver ga ada yang mau ambil🙁,2
mapsnya tidak update 🙏,5
"susah banget dapat driver, pesan gofood sampai nunggu 2 jam tetap aja gak dapat driver. makin lama semakin banyak tingkah driver gojek ini, milih2 ambil orderan. sekalinya dapat di cancel, mungkin karena tau ongkirnya dapat cuma sedikit! MENGECEWAKAN!",1
"pesen go food pasti ongkir nya sama dengan harga makanan ,2x lipat nya",5
pelayanan oke,5
apk jelek,1
"Fitur + saat chat driver kemana??? kan mau kasih foto lokasinya, kok gak ada?? gak oenting ya???",2
"TOLONG UNTUK GOFOOD DIPERBAIKI LAGI UNTUK WAKTU ESTIMASI. JANGAN SAMPAI NUNGGU 1 JAM BARU BOLEH MEMBATALKAN, LU PIKIR YANG MESAN GOFOOD PADA UDAH KENYANG ?. TIRU SHOOPE FOOD YANG BISA BATALKAN PESANAN DALAM WAKTU 12 MNT.",1
terpencet gofood lansung gk bisa di batalkan,1
bikin susah sering logout,5
"app yang memudahkan untuk kesana kemari, saya sangat suka",5
nyoba,5
perjalanan kita butuh lebih cepat dan murah,5
Mantab jiwa,5
"nyaman , cepat , ramah & sabar",5
puas,5
bagus appspunya Indonesia,5
good,5
mantap,5
